,Generation,x0,f0,x1,f1
0,1,681.3357953341329,5442450.886311226,-3012.241898526292,13642516.180583294
1,2,-234.85059187253364,1476878.0492817992,1452.1193067178551,2845867.4387500663
2,3,265.7148411200443,2925876.571089832,1446.8045452330693,1394972.8891617933
3,4,-58.02278987841197,575397.8414070604,-698.527038021549,410245.69188940513
4,5,-213.0680205841569,774282.4910307929,-664.8652104230559,204120.70074632618
5,6,355.1198548678367,25970.56038771881,-191.96601412018708,299302.9480463811
6,7,355.1198548678367,25970.56038771881,-191.96601412018708,299302.9480463811
7,8,269.9443100891946,4942.084995613367,-197.64434568228063,218639.15100617512
8,9,210.76920246595336,32025.596290695983,-29.812234759479338,57879.42793745481
9,10,177.60299758461557,8744.287007597164,-82.09210513032892,67441.54637412557
10,11,-50.67177072849972,0.3343487892630979,53.24999973958711,10799.734377221725
11,12,0.26671570211875917,335.1248861304776,20.03970082680567,390.97094074108986
12,13,0.26671570211875917,335.1248861304776,20.03970082680567,390.97094074108986
13,14,1.04346199804265,353.96913180421836,19.77060539325311,350.7058997447748
14,15,8.280787784690006,288.8668288849521,10.715294966489811,5.926825218234831
15,16,1.702566148529232,108.59050342826433,10.718110577493139,81.28004135062213
16,17,-6.657681281912275,16.55336435761335,4.589098683805982,126.49005959728157
17,18,-2.492394990280653,0.6103770898364913,5.273661327605186,60.31163073257456
18,19,1.4827141679502747,6.675475550268282,3.100979999374543,2.618784301155278
19,20,1.3029977630956735,5.517275062791168,3.0458902850648104,3.0376743431359383
20,21,0.3167626653746591,1.318029260396719,2.8312918892509993,6.322857217728149
21,22,1.0452413092727717,1.4913697489267108,2.1759751944343764,1.278559119052657
22,23,1.2809332986089257,0.9039360798697366,1.6698222324660907,0.15123460287656249
23,24,1.1386302687176837,0.3572206993090711,1.4590491598299877,0.10266826578163855
24,25,1.2822436649252804,0.05709838075879541,0.9567090098008992,0.10597281168694979
25,26,1.2822436649252804,0.05709838075879541,0.9567090098008992,0.10597281168694979
26,27,1.101200835495815,0.0006048570756416481,0.8742053222740322,0.05152696302282052
27,28,0.9595642796484654,0.0004300405712574382,1.0196983007613967,0.0036161004952104687
28,29,0.9595642796484654,0.0004300405712574382,1.0196983007613967,0.0036161004952104687
29,30,0.9727616738902695,0.0008342794715569626,0.9983544297043465,0.0006549891501589747
30,31,0.9727616738902695,0.0008342794715569626,0.9983544297043465,0.0006549891501589747
31,32,0.9727616738902695,0.0008342794715569626,0.9983544297043465,0.0006549891501589747
32,33,0.9991600537070295,0.0001877561323336836,1.014542359669222,0.00023661533671450222
33,34,0.9991600537070295,0.0001877561323336836,1.014542359669222,0.00023661533671450222
34,35,0.9944313127250973,3.7696845626059413e-06,1.0036271197219686,8.45628663237068e-05
35,36,0.9951015570689121,2.4930900400606366e-05,0.9999053576723919,2.307650023799227e-05
36,37,0.9999465609747543,3.6082642257092575e-07,0.9994527507345566,2.4384855332408894e-07
37,38,0.9999465609747543,3.6082642257092575e-07,0.9994527507345566,2.4384855332408894e-07
38,39,0.9999465609747543,3.6082642257092575e-07,0.9994527507345566,2.4384855332408894e-07
39,40,0.9999465609747543,3.6082642257092575e-07,0.9994527507345566,2.4384855332408894e-07
40,41,0.9999465609747543,3.6082642257092575e-07,0.9994527507345566,2.4384855332408894e-07
